session_id,start_time,end_time,start_ts,end_ts,duration,keypresses
100,2020-08-12T08:39:49.533000000,2020-08-12T08:39:55.920000000,2020-08-12T08:39:49.533000000,2020-08-12T08:39:55.920000000,6387000000 nanoseconds,22
101,2020-08-12T08:48:32.969000000,2020-08-12T08:48:53.073000000,2020-08-12T08:48:32.969000000,2020-08-12T08:48:53.073000000,20104000000 nanoseconds,53
102,2020-08-12T08:50:56.365000000,2020-08-12T08:51:25.503000000,2020-08-12T08:50:56.365000000,2020-08-12T08:51:25.503000000,29138000000 nanoseconds,71
103,2020-08-12T09:22:10.949000000,2020-08-12T09:22:26.062000000,2020-08-12T09:22:10.949000000,2020-08-12T09:22:26.062000000,15113000000 nanoseconds,50
104,2020-08-12T09:25:18.045000000,2020-08-12T09:29:26.874000000,2020-08-12T09:25:18.045000000,2020-08-12T09:29:26.874000000,248829000000 nanoseconds,297
105,2020-08-12T09:33:23.813000000,2020-08-12T09:36:16.018000000,2020-08-12T09:33:23.813000000,2020-08-12T09:36:16.018000000,172205000000 nanoseconds,209
106,2020-08-12T09:38:37.835000000,2020-08-12T09:39:03.098000000,2020-08-12T09:38:37.835000000,2020-08-12T09:39:03.098000000,25263000000 nanoseconds,93
107,2020-08-12T10:03:27.122000000,2020-08-12T10:03:58.483000000,2020-08-12T10:03:27.122000000,2020-08-12T10:03:58.483000000,31361000000 nanoseconds,64
108,2020-08-12T10:05:30.748000000,2020-08-12T10:06:59.097000000,2020-08-12T10:05:30.748000000,2020-08-12T10:06:59.097000000,88349000000 nanoseconds,90
109,2020-08-12T10:08:58.085000000,2020-08-12T10:12:59.033000000,2020-08-12T10:08:58.085000000,2020-08-12T10:12:59.033000000,240948000000 nanoseconds,270
110,2020-08-12T10:15:16.509000000,2020-08-12T10:18:50.730000000,2020-08-12T10:15:16.509000000,2020-08-12T10:18:50.730000000,214221000000 nanoseconds,193
111,2020-08-12T10:26:15.394000000,2020-08-12T10:29:26.684000000,2020-08-12T10:26:15.394000000,2020-08-12T10:29:26.684000000,191290000000 nanoseconds,280
112,2020-08-12T10:33:08.497000000,2020-08-12T10:33:23.711000000,2020-08-12T10:33:08.497000000,2020-08-12T10:33:23.711000000,15214000000 nanoseconds,43
113,2020-08-12T10:36:02.554000000,2020-08-12T10:37:20.695000000,2020-08-12T10:36:02.554000000,2020-08-12T10:37:20.695000000,78141000000 nanoseconds,185
114,2020-08-12T10:38:35.580000000,2020-08-12T10:39:07.208000000,2020-08-12T10:38:35.580000000,2020-08-12T10:39:07.208000000,31628000000 nanoseconds,68
115,2020-08-12T10:40:13.868000000,2020-08-12T10:43:40.077000000,2020-08-12T10:40:13.868000000,2020-08-12T10:43:40.077000000,206209000000 nanoseconds,351
116,2020-08-12T10:55:42.971000000,2020-08-12T10:57:53.098000000,2020-08-12T10:55:42.971000000,2020-08-12T10:57:53.098000000,130127000000 nanoseconds,248
117,2020-08-12T11:03:59.143000000,2020-08-12T11:04:22.765000000,2020-08-12T11:03:59.143000000,2020-08-12T11:04:22.765000000,23622000000 nanoseconds,91
118,2020-08-12T11:09:20.337000000,2020-08-12T11:09:36.574000000,2020-08-12T11:09:20.337000000,2020-08-12T11:09:36.574000000,16237000000 nanoseconds,66
119,2020-08-12T11:31:08.910000000,2020-08-12T11:32:18.967000000,2020-08-12T11:31:08.910000000,2020-08-12T11:32:18.967000000,70057000000 nanoseconds,146
120,2020-08-12T11:33:32.256000000,2020-08-12T11:34:01.550000000,2020-08-12T11:33:32.256000000,2020-08-12T11:34:01.550000000,29294000000 nanoseconds,117
121,2020-08-12T11:36:01.863000000,2020-08-12T11:36:07.894000000,2020-08-12T11:36:01.863000000,2020-08-12T11:36:07.894000000,6031000000 nanoseconds,14
122,2020-08-12T12:37:12.333000000,2020-08-12T12:39:23.513000000,2020-08-12T12:37:12.333000000,2020-08-12T12:39:23.513000000,131180000000 nanoseconds,313
123,2020-08-12T12:50:26.552000000,2020-08-12T12:52:07.420000000,2020-08-12T12:50:26.552000000,2020-08-12T12:52:07.420000000,100868000000 nanoseconds,202
124,2020-08-12T12:53:40.600000000,2020-08-12T13:00:18.499000000,2020-08-12T12:53:40.600000000,2020-08-12T13:00:18.499000000,397899000000 nanoseconds,476
125,2020-08-12T13:09:42.277000000,2020-08-12T13:21:31.689000000,2020-08-12T13:09:42.277000000,2020-08-12T13:21:31.689000000,709412000000 nanoseconds,1160
126,2020-08-12T13:30:39.093000000,2020-08-12T13:30:51.035000000,2020-08-12T13:30:39.093000000,2020-08-12T13:30:51.035000000,11942000000 nanoseconds,50
127,2020-08-12T13:35:48.552000000,2020-08-12T13:36:03.538000000,2020-08-12T13:35:48.552000000,2020-08-12T13:36:03.538000000,14986000000 nanoseconds,46
128,2020-08-12T13:39:02.819000000,2020-08-12T13:39:38.239000000,2020-08-12T13:39:02.819000000,2020-08-12T13:39:38.239000000,35420000000 nanoseconds,115
129,2020-08-12T13:52:08.916000000,2020-08-12T13:53:26.703000000,2020-08-12T13:52:08.916000000,2020-08-12T13:53:26.703000000,77787000000 nanoseconds,165
130,2020-08-12T13:59:35.785000000,2020-08-12T14:01:06.772000000,2020-08-12T13:59:35.785000000,2020-08-12T14:01:06.772000000,90987000000 nanoseconds,39
131,2020-08-12T14:38:27.450000000,2020-08-12T14:39:46.537000000,2020-08-12T14:38:27.450000000,2020-08-12T14:39:46.537000000,79087000000 nanoseconds,192
132,2020-08-12T14:59:38.350000000,2020-08-12T14:59:50.668000000,2020-08-12T14:59:38.350000000,2020-08-12T14:59:50.668000000,12318000000 nanoseconds,34
133,2020-08-12T19:25:23.446000000,2020-08-12T19:25:38.353000000,2020-08-12T19:25:23.446000000,2020-08-12T19:25:38.353000000,14907000000 nanoseconds,33
134,2020-08-12T19:28:50.505000000,2020-08-12T19:29:32.722000000,2020-08-12T19:28:50.505000000,2020-08-12T19:29:32.722000000,42217000000 nanoseconds,73
135,2020-08-12T20:17:11.023000000,2020-08-12T20:17:16.895000000,2020-08-12T20:17:11.023000000,2020-08-12T20:17:16.895000000,5872000000 nanoseconds,27
136,2020-08-12T20:30:26.452000000,2020-08-12T20:30:27.448000000,2020-08-12T20:30:26.452000000,2020-08-12T20:30:27.448000000,996000000 nanoseconds,6
137,2020-08-12T21:11:02.027000000,2020-08-12T21:11:03.271000000,2020-08-12T21:11:02.027000000,2020-08-12T21:11:03.271000000,1244000000 nanoseconds,7
138,2020-08-12T21:42:23.884000000,2020-08-12T21:43:01.583000000,2020-08-12T21:42:23.884000000,2020-08-12T21:43:01.583000000,37699000000 nanoseconds,26
139,2020-08-12T21:47:14.629000000,2020-08-12T21:47:17.426000000,2020-08-12T21:47:14.629000000,2020-08-12T21:47:17.426000000,2797000000 nanoseconds,12
140,2020-08-12T22:12:11.002000000,2020-08-12T22:12:18.686000000,2020-08-12T22:12:11.002000000,2020-08-12T22:12:18.686000000,7684000000 nanoseconds,22
141,2020-08-13T04:49:52.499000000,2020-08-13T04:49:57.999000000,2020-08-13T04:49:52.499000000,2020-08-13T04:49:57.999000000,5500000000 nanoseconds,22
142,2020-08-13T07:05:27.866000000,2020-08-13T07:06:07.635000000,2020-08-13T07:05:27.866000000,2020-08-13T07:06:07.635000000,39769000000 nanoseconds,56
143,2020-08-13T09:20:35.047000000,2020-08-13T09:21:11.515000000,2020-08-13T09:20:35.047000000,2020-08-13T09:21:11.515000000,36468000000 nanoseconds,18
144,2020-08-13T09:29:33.817000000,2020-08-13T09:29:35.929000000,2020-08-13T09:29:33.817000000,2020-08-13T09:29:35.929000000,2112000000 nanoseconds,8
145,2020-08-13T09:30:42.465000000,2020-08-13T09:33:08.572000000,2020-08-13T09:30:42.465000000,2020-08-13T09:33:08.572000000,146107000000 nanoseconds,204
146,2020-08-13T09:39:41.386000000,2020-08-13T09:41:30.885000000,2020-08-13T09:39:41.386000000,2020-08-13T09:41:30.885000000,109499000000 nanoseconds,294
147,2020-08-13T09:42:33.917000000,2020-08-13T09:42:40.595000000,2020-08-13T09:42:33.917000000,2020-08-13T09:42:40.595000000,6678000000 nanoseconds,15
148,2020-08-13T09:50:27.676000000,2020-08-13T09:50:43.264000000,2020-08-13T09:50:27.676000000,2020-08-13T09:50:43.264000000,15588000000 nanoseconds,16
